nvid	description	result	old nv value	new nv value
6717	NV_LTE_B1_PA_RANGE_MAP_I	Y	3,0,0,0	3,0,0,0
6719	NV_LTE_B1_PA_RISE_FALL_THRESHOLD_I	Y	810,780,2046,2046,2046,2046,0,0,0,0,0,0,0,0,0,0	810,780,2046,2046,2046,2046,0,0,0,0,0,0,0,0,0,0
6710	NV_LTE_B1_MAX_TX_POWER_I	N	22	23
6721	NV_LTE_B1_TX_LIMIT_VS_TEMP_I	N	-2,-2,-2,0,0,5,5,5	3,0,-2,-5,-8,-12,-12,-12
6714	NV_LTE_B1_TX_ROT_ANGLE_PA_STATE_I	Y	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0
6715	NV_LTE_B1_PA_COMPENSATE_UP_DOWN_I	Y	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21307		Y	not found	not found
24932	RFNV_LTE_B1_MIN_TX_POWER_DB10_I	Y	1,-440	1,-440
6701	NV_LTE_B1_LNA_RANGE_RISE_FALL_I	Y	-740,-780,-600,-640,-400,-440,-280,-320,-200,-240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	-740,-780,-600,-640,-400,-440,-280,-320,-200,-240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

20236	RFNV_LTE_B2_PA_RANGE_MAP_I	Y	3,0,0,0	3,0,0,0
20238	RFNV_LTE_B2_PA_RISE_FALL_THRESHOLD_I	Y	810,780,2046,2046,2046,2046,0,0,0,0,0,0,0,0,0,0	810,780,2046,2046,2046,2046,0,0,0,0,0,0,0,0,0,0
20229	RFNV_LTE_B2_MAX_TX_POWER_I	N	22	23
20240	RFNV_LTE_B2_TX_LIMIT_VS_TEMP_I	N	-10,-9,-7,-3,0,2,5,6	3,0,-2,-5,-8,-12,-12,-12
20233	RFNV_LTE_B2_TX_ROT_ANGLE_PA_STATE_I	Y	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0
20234	RFNV_LTE_B2_PA_COMPENSATE_UP_DOWN_I	Y	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21308		Y	not found	not found
24933	RFNV_LTE_B2_MIN_TX_POWER_DB10_I	Y	1,-440	1,-440
20220	RFNV_LTE_B2_LNA_RANGE_RISE_FALL_I	Y	-740,-780,-600,-640,-400,-440,-280,-320,-200,-240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	-740,-780,-600,-640,-400,-440,-280,-320,-200,-240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

20291	RFNV_LTE_B3_PA_RANGE_MAP_I	Y	3,0,0,0	3,0,0,0
20293	RFNV_LTE_B3_PA_RISE_FALL_THRESHOLD_I	Y	810,780,2046,2046,2046,2046,0,0,0,0,0,0,0,0,0,0	810,780,2046,2046,2046,2046,0,0,0,0,0,0,0,0,0,0
20284	RFNV_LTE_B3_MAX_TX_POWER_I	N	22	23
20295	RFNV_LTE_B3_TX_LIMIT_VS_TEMP_I	N	0,0,0,0,0,0,0,0	3,0,-2,-5,-8,-12,-12,-12
20288	RFNV_LTE_B3_TX_ROT_ANGLE_PA_STATE_I	Y	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0
20289	RFNV_LTE_B3_PA_COMPENSATE_UP_DOWN_I	Y	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21309		Y	not found	not found
24934	RFNV_LTE_B3_MIN_TX_POWER_DB10_I	Y	1,-440	1,-440
20275	RFNV_LTE_B3_LNA_RANGE_RISE_FALL_I	Y	-740,-780,-600,-640,-400,-440,-280,-320,-200,-240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	-740,-780,-600,-640,-400,-440,-280,-320,-200,-240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

20102	RFNV_LTE_B4_PA_RANGE_MAP_I	Y	3,0,0,0	3,0,0,0
20104	RFNV_LTE_B4_PA_RISE_FALL_THRESHOLD_I	Y	810,780,2046,2046,2046,2046,0,0,0,0,0,0,0,0,0,0	810,780,2046,2046,2046,2046,0,0,0,0,0,0,0,0,0,0
20095	RFNV_LTE_B4_MAX_TX_POWER_I	N	22	23
20106	RFNV_LTE_B4_TX_LIMIT_VS_TEMP_I	N	-5,-5,-5,0,0,5,5,5	5,0,-5,-10,-12,-14,-14,-14
20099	RFNV_LTE_B4_TX_ROT_ANGLE_PA_STATE_I	Y	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0
20100	RFNV_LTE_B4_PA_COMPENSATE_UP_DOWN_I	Y	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21310		Y	not found	not found
24935	RFNV_LTE_B4_MIN_TX_POWER_DB10_I	Y	1,-440	1,-440
20086	RFNV_LTE_B4_LNA_RANGE_RISE_FALL_I	Y	-740,-780,-600,-640,-400,-440,-280,-320,-200,-240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	-740,-780,-600,-640,-400,-440,-280,-320,-200,-240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

20807	RFNV_LTE_B5_PA_RANGE_MAP_I	N	not found	3,0,0,0
20809	RFNV_LTE_B5_PA_RISE_FALL_THRESHOLD_I	N	not found	810,780,2046,2046,2046,2046,0,0,0,0,0,0,0,0,0,0
20800	RFNV_LTE_B5_MAX_TX_POWER_I	N	not found	23
20811	RFNV_LTE_B5_TX_LIMIT_VS_TEMP_I	N	not found	3,0,-2,-5,-8,-12,-12,-12
20804	RFNV_LTE_B5_TX_ROT_ANGLE_PA_STATE_I	N	not found	0,0,0,0,0,0,0,0
20805	RFNV_LTE_B5_PA_COMPENSATE_UP_DOWN_I	N	not found	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21311		Y	not found	not found
24936	RFNV_LTE_B5_MIN_TX_POWER_DB10_I	N	not found	1,-440
20791	RFNV_LTE_B5_LNA_RANGE_RISE_FALL_I	N	not found	-740,-780,-600,-640,-400,-440,-280,-320,-200,-240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

6560	NV_LTE_B7_PA_RANGE_MAP_I	Y	3,0,0,0,0,0,0,0	3,0,0,0,0,0,0,0
6562	NV_LTE_B7_PA_RISE_FALL_THRESHOLD_I	Y	810,780,2046,2046,2046,2046,0,0,0,0,0,0,0,0,0,0	810,780,2046,2046,2046,2046,0,0,0,0,0,0,0,0,0,0
6553	NV_LTE_B7_MAX_TX_POWER_I	N	22	23
6564	NV_LTE_B7_TX_LIMIT_VS_TEMP_I	N	0,0,0,0,0,0,0,0	3,-3,-3,-5,-8,-12,-12,-12
6557	NV_LTE_B7_TX_ROT_ANGLE_PA_STATE_I	Y	0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0
6558	NV_LTE_B7_PA_COMPENSATE_UP_DOWN_I	Y	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21312		Y	not found	not found
24938	RFNV_LTE_B7_MIN_TX_POWER_DB10_I	Y	1,-500	1,-500
